variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_appendixF-from_last_year,matching
zg,area: mean where air time: point,longitude latitude plev27 time1,zg_tpt-p27-hxy-air,zg_tpt-p27-hxy-air,True
zg,area: mean where air time: point,longitude latitude plev7h time1,zg_tpt-p7h-hxy-air,zg_tpt-p7h-hxy-air,True
zg,area: time: mean,longitude latitude alevel time,zg_tavg-l-hxy-x,zg_tavg-l-hxy-u,False
zg,area: time: mean where air,longitude latitude time p10,zg_tavg-p010-hxy-air,zg_tavg-10hPa-hxy-air,False
zg,area: time: mean where air,longitude latitude time p100,zg_tavg-p0100-hxy-air,zg_tavg-100hPa-hxy-air,False
zg,area: time: mean where air,longitude latitude time p1000,zg_tavg-p01000-hxy-air,zg_tavg-1000hPa-hxy-air,False
zg,area: time: mean where air,longitude latitude time p500,zg_tavg-p0500-hxy-air,zg_tavg-500hPa-hxy-air,False
zg,area: time: mean where air,longitude latitude plev19 time,zg_tavg-p19-hxy-air,zg_tavg-p19-hxy-air,True
zg,longitude: time: mean where air,latitude plev19 time,zg_tavg-p19-hy-air,zg_tavg-p19-hy-air,True
zg,area: time: mean where air,longitude latitude plev8 time,zg_tavg-p8-hxy-air,zg_tavg-p8-hxy-air,True
zg,area: time: mean,longitude latitude alevel time,zg_tavg-l-hxy-x,zg_tavg-l-hxy-u,False
zg,area: time: mean where air,longitude latitude plev19 time,zg_tavg-p19-hxy-air,zg_tavg-p19-hxy-air,True
zg,area: time: mean where air,longitude latitude plev27 time,zg_tavg-p27-hxy-air,zg_tavg-p27-hxy-air,True
zg,longitude: time: mean where air,latitude plev39 time,zg_tavg-p39-hy-air,zg_tavg-p39-hy-air,True
zg,area: point time: point,alevel site time1,zg_tpt-l-hxys-x,zg_tpt-l-hxys-u,False
zostoga,area: mean where sea time: mean, time,zostoga_tavg-z0-hm-sea,zostoga_tavg-u-hm-sea,False
gppc13,area: mean where land time: mean,longitude latitude time,gppc13_tavg-z0-hxy-lnd,gppc13_tavg-u-hxy-lnd,False
gppc14,area: mean where land time: mean,longitude latitude time,gppc14_tavg-z0-hxy-lnd,gppc14_tavg-u-hxy-lnd,False
gpp,area: mean where land time: mean,longitude latitude time,gpp_tavg-z0-hxy-lnd,gpp_tavg-u-hxy-lnd,False
gpp,area: mean where land time: mean,longitude latitude time,gpp_tavg-z0-hxy-lnd,gpp_tavg-u-hxy-lnd,False
gpp,area: time: mean where natural_grasses,longitude latitude time,gpp_tavg-z0-hxy-ng,gpp_tavg-u-hxy-ng,False
gpp,area: time: mean where sector,longitude latitude landUse time,gpp_tavg-z0-hxy-lus,gpp_tavg-u-hxy-lus,False
gpp,area: time: mean where shrubs,longitude latitude time,gpp_tavg-z0-hxy-shb,gpp_tavg-u-hxy-shb,False
gpp,area: time: mean where trees,longitude latitude time,gpp_tavg-z0-hxy-tree,gpp_tavg-u-hxy-tree,False
iareagr,area: sum time: mean , time,iareagr_tavg-z0-hm-x,iareagr_tavg-u-hm-u,False
iareagr,area: sum time: mean , time,iareagr_tavg-z0-hm-x,iareagr_tavg-u-hm-u,False
sftgrf,area: mean,longitude latitude ,sftgrf_ti-z0-hxy-x,sftgrf_ti-u-hxy-u,False
sftgrf,area: time: mean,longitude latitude time,sftgrf_tavg-z0-hxy-x,sftgrf_tavg-u-hxy-u,False
sftgrf,area: time: mean,longitude latitude time,sftgrf_tavg-z0-hxy-x,sftgrf_tavg-u-hxy-u,False
sftgrf,area: time: mean,longitude latitude time,sftgrf_tavg-z0-hxy-x,sftgrf_tavg-u-hxy-u,False
limirrcalc,area: mean where sea time: mean,longitude latitude time,limirrcalc_tavg-z0-hxy-sea,limirrcalc_tavg-u-hxy-sea,False
limirrdiat,area: mean where sea time: mean,longitude latitude time,limirrdiat_tavg-z0-hxy-sea,limirrdiat_tavg-u-hxy-sea,False
limirrdiaz,area: mean where sea time: mean,longitude latitude time,limirrdiaz_tavg-z0-hxy-sea,limirrdiaz_tavg-u-hxy-sea,False
limirrmisc,area: mean where sea time: mean,longitude latitude time,limirrmisc_tavg-z0-hxy-sea,limirrmisc_tavg-u-hxy-sea,False
limirrpico,area: mean where sea time: mean,longitude latitude time,limirrpico_tavg-z0-hxy-sea,limirrpico_tavg-u-hxy-sea,False
hfcorr,area: mean where sea time: mean,longitude latitude time,hfcorr_tavg-z0-hxy-sea,hfcorr_tavg-u-hxy-sea,False
hfsifrazilsea,area: mean where sea time: mean,longitude latitude olevel time,hfsifrazilsea_tavg-l-hxy-sea,hfsifrazilsea_tavg-l-hxy-sea,True
hfsifrazilsea,area: mean where sea time: mean,longitude latitude time,hfsifrazilsea_tavg-z0-hxy-sea,hfsifrazilsea_tavg-u-hxy-sea,False
hfibthermds,area: mean where sea time: mean,longitude latitude olevel time,hfibthermds_tavg-l-hxy-sea,hfibthermds_tavg-l-hxy-sea,True
hfibthermds,area: mean where sea time: mean,longitude latitude time,hfibthermds_tavg-z0-hxy-sea,hfibthermds_tavg-u-hxy-sea,False
hfsnthermds,area: mean where sea time: mean,longitude latitude olevel time,hfsnthermds_tavg-l-hxy-sea,hfsnthermds_tavg-l-hxy-sea,True
hfsnthermds,area: mean where sea time: mean,longitude latitude time,hfsnthermds_tavg-z0-hxy-sea,hfsnthermds_tavg-u-hxy-sea,False
zfull,area: mean time: point,longitude latitude alevel time1,zfull_tpt-l-hxy-x,zfull_tpt-l-hxy-u,False
zfull,area: mean,longitude latitude alevel ,zfull_ti-l-hxy-x,zfull_ti-l-hxy-u,False
zhalf,area: mean time: point,longitude latitude alevhalf time1,zhalf_tpt-l-hxy-x,zhalf_tpt-l-hxy-u,False
cfadLidarsr532,area: mean where air time: point,longitude latitude alt40 scatratio time1,cfadLidarsr532_tpt-h40-hxy-air,cfadLidarsr532_tpt-h40-hxy-air,True
cfadLidarsr532,area: time: mean where air,longitude latitude alt40 scatratio time,cfadLidarsr532_tavg-h40-hxy-air,cfadLidarsr532_tavg-h40-hxy-air,True
cfadDbze94,area: mean where air time: point,longitude latitude alt40 dbze time1,cfadDbze94_tpt-h40-hxy-air,cfadDbze94_tpt-h40-hxy-air,True
cfadDbze94,area: time: mean where air,longitude latitude alt40 dbze time,cfadDbze94_tavg-h40-hxy-air,cfadDbze94_tavg-h40-hxy-air,True
climodis,area: time: mean,longitude latitude time,climodis_tavg-z0-hxy-x,climodis_tavg-u-hxy-u,False
clcalipsoice,area: time: mean where air,longitude latitude alt40 time,clcalipsoice_tavg-h40-hxy-air,clcalipsoice_tavg-h40-hxy-air,True
rivi,area: time: mean,longitude latitude time,rivi_tavg-z0-hxy-x,rivi_tavg-u-hxy-u,False
ocontempmint,area: mean where sea time: mean,longitude latitude time,ocontempmint_tavg-z0-hxy-sea,ocontempmint_tavg-u-hxy-sea,False
ocontempmint,area: mean where sea time: mean,longitude latitude time,ocontempmint_tavg-z0-hxy-sea,ocontempmint_tavg-u-hxy-sea,False
opottempmint,area: mean where sea time: mean,longitude latitude time,opottempmint_tavg-z0-hxy-sea,opottempmint_tavg-u-hxy-sea,False
opottempmint,area: mean where sea time: mean,longitude latitude time,opottempmint_tavg-z0-hxy-sea,opottempmint_tavg-u-hxy-sea,False
somint,area: mean where sea time: mean,longitude latitude time,somint_tavg-z0-hxy-sea,somint_tavg-u-hxy-sea,False
somint,area: mean where sea time: mean,longitude latitude time,somint_tavg-z0-hxy-sea,somint_tavg-u-hxy-sea,False
fddtalk,depth: sum where sea area: time: mean,longitude latitude time olayer100m,fddtalk_tavg-z0100-hxy-sea,fddtalk_tavg-d100m-hxy-sea,False
fbddtalk,depth: sum where sea area: time: mean,longitude latitude time olayer100m,fbddtalk_tavg-z0100-hxy-sea,fbddtalk_tavg-d100m-hxy-sea,False
uqint,area: time: mean,longitude latitude time,uqint_tavg-z0-hxy-x,uqint_tavg-u-hxy-u,False
vqint,area: time: mean,longitude latitude time,vqint_tavg-z0-hxy-x,vqint_tavg-u-hxy-u,False
pod0,area: mean time: sum (with each sample weighted by the time-interval it represents) ,longitude latitude time,pod0_tsum-z0-hxy-x,pod0_tsum-u-hxy-u,False
limfecalc,area: mean where sea time: mean,longitude latitude time,limfecalc_tavg-z0-hxy-sea,limfecalc_tavg-u-hxy-sea,False
limfediat,area: mean where sea time: mean,longitude latitude time,limfediat_tavg-z0-hxy-sea,limfediat_tavg-u-hxy-sea,False
limfediaz,area: mean where sea time: mean,longitude latitude time,limfediaz_tavg-z0-hxy-sea,limfediaz_tavg-u-hxy-sea,False
limfemisc,area: mean where sea time: mean,longitude latitude time,limfemisc_tavg-z0-hxy-sea,limfemisc_tavg-u-hxy-sea,False
limfepico,area: mean where sea time: mean,longitude latitude time,limfepico_tavg-z0-hxy-sea,limfepico_tavg-u-hxy-sea,False
sw17O,area: mean where sea time: mean,longitude latitude olevel time,sw17O_tavg-l-hxy-sea,sw17O_tavg-l-hxy-sea,True
sw18O,area: mean where sea time: mean,longitude latitude olevel time,sw18O_tavg-l-hxy-sea,sw18O_tavg-l-hxy-sea,True
sw2H,area: mean where sea time: mean,longitude latitude olevel time,sw2H_tavg-l-hxy-sea,sw2H_tavg-l-hxy-sea,True
wap,area: mean where air time: point,longitude latitude plev27 time1,wap_tpt-p27-hxy-air,wap_tpt-p27-hxy-air,True
wap,area: mean where air time: point,longitude latitude plev3 time1,wap_tpt-p3-hxy-air,wap_tpt-p3-hxy-air,True
wap,area: mean where air time: point,longitude latitude plev7h time1,wap_tpt-p7h-hxy-air,wap_tpt-p7h-hxy-air,True
wap,area: time: mean where air,longitude latitude plev4 time,wap_tavg-p4-hxy-air,wap_tavg-p4-hxy-air,True
wap,area: time: mean,longitude latitude alevel time,wap_tavg-l-hxy-x,wap_tavg-l-hxy-u,False
wap,area: time: mean where air,longitude latitude time p500,wap_tavg-p0500-hxy-air,wap_tavg-500hPa-hxy-air,False
wap,area: time: mean where air,longitude latitude plev19 time,wap_tavg-p19-hxy-air,wap_tavg-p19-hxy-air,True
wap,area: time: mean where air,longitude latitude plev8 time,wap_tavg-p8-hxy-air,wap_tavg-p8-hxy-air,True
wap,area: time: mean,longitude latitude alevel time,wap_tavg-l-hxy-x,wap_tavg-l-hxy-u,False
wap,area: time: mean where air,longitude latitude plev19 time,wap_tavg-p19-hxy-air,wap_tavg-p19-hxy-air,True
wap,area: mean time: point,longitude latitude alevel time1,wap_tpt-l-hxy-x,wap_tpt-l-hxy-u,False
wap,area: point time: point,alevel site time1,wap_tpt-l-hxys-x,wap_tpt-l-hxys-u,False
sftlf,area: mean,longitude latitude ,sftlf_ti-z0-hxy-x,sftlf_ti-u-hxy-u,False
sftgif,area: mean,longitude latitude ,sftgif_ti-z0-hxy-x,sftgif_ti-u-hxy-u,False
sftgif,area: time: mean,longitude latitude time,sftgif_tavg-z0-hxy-x,sftgif_tavg-u-hxy-u,False
sftgif,area: time: mean,longitude latitude time,sftgif_tavg-z0-hxy-x,sftgif_tavg-u-hxy-u,False
sftgif,area: time: mean,longitude latitude time,sftgif_tavg-z0-hxy-x,sftgif_tavg-u-hxy-u,False
strbasemag,area: time: mean where ice_sheet,longitude latitude time,strbasemag_tavg-z0-hxy-is,strbasemag_tavg-u-hxy-is,False
strbasemag,area: time: mean where ice_sheet,longitude latitude time,strbasemag_tavg-z0-hxy-is,strbasemag_tavg-u-hxy-is,False
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-u-hxy-fis,False
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-u-hxy-fis,False
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-u-hxy-fis,False
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-u-hxy-fis,False
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-u-hxy-gis,False
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-u-hxy-gis,False
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-u-hxy-gis,False
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-u-hxy-gis,False
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-u-hxy-fis,False
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-u-hxy-fis,False
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-u-hxy-fis,False
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-u-hxy-fis,False
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-u-hxy-gis,False
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-u-hxy-gis,False
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-u-hxy-gis,False
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-u-hxy-gis,False
zvelbase,area: time: mean where ice_sheet,longitude latitude time,zvelbase_tavg-z0-hxy-is,zvelbase_tavg-u-hxy-is,False
zvelbase,area: time: mean where ice_sheet,longitude latitude time,zvelbase_tavg-z0-hxy-is,zvelbase_tavg-u-hxy-is,False
xvelbase,area: time: mean where ice_sheet,longitude latitude time,xvelbase_tavg-z0-hxy-is,xvelbase_tavg-u-hxy-is,False
xvelbase,area: time: mean where ice_sheet,longitude latitude time,xvelbase_tavg-z0-hxy-is,xvelbase_tavg-u-hxy-is,False
yvelbase,area: time: mean where ice_sheet,longitude latitude time,yvelbase_tavg-z0-hxy-is,yvelbase_tavg-u-hxy-is,False
yvelbase,area: time: mean where ice_sheet,longitude latitude time,yvelbase_tavg-z0-hxy-is,yvelbase_tavg-u-hxy-is,False
lim,area: sum where ice_sheet time: mean, time,lim_tavg-z0-hm-is,lim_tavg-u-hm-is,False
lim,area: sum where ice_sheet time: mean, time,lim_tavg-z0-hm-is,lim_tavg-u-hm-is,False
limnsw,area: sum where grounded_ice_sheet time: mean, time,limnsw_tavg-z0-hm-gis,limnsw_tavg-u-hm-gis,False
limnsw,area: sum where grounded_ice_sheet time: mean, time,limnsw_tavg-z0-hm-gis,limnsw_tavg-u-hm-gis,False
mrroLi,area: time: mean where ice_sheet,longitude latitude time,mrroLi_tavg-z0-hxy-is,mrroLi_tavg-u-hxy-is,False
mrroLi,area: time: mean where ice_sheet,longitude latitude time,mrroLi_tavg-z0-hxy-is,mrroLi_tavg-u-hxy-is,False
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-u-hxy-is,False
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-u-hxy-is,False
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-u-hxy-is,False
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-u-hxy-is,False
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-u-hxy-is,False
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-u-hxy-is,False
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-u-hxy-is,False
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-u-hxy-is,False
icem,area: time: mean where ice_sheet,longitude latitude time,icem_tavg-z0-hxy-is,icem_tavg-u-hxy-is,False
icem,area: time: mean where ice_sheet,longitude latitude time,icem_tavg-z0-hxy-is,icem_tavg-u-hxy-is,False
icem,area: time: mean where ice_sheet,longitude latitude time,icem_tavg-z0-hxy-is,icem_tavg-u-hxy-is,False
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-u-hxy-is,False
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-u-hxy-is,False
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-u-hxy-is,False
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-u-hxy-is,False
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-u-hxy-is,False
zvelsurf,area: time: mean where ice_sheet,longitude latitude time,zvelsurf_tavg-z0-hxy-is,zvelsurf_tavg-u-hxy-is,False
zvelsurf,area: time: mean where ice_sheet,longitude latitude time,zvelsurf_tavg-z0-hxy-is,zvelsurf_tavg-u-hxy-is,False
xvelsurf,area: time: mean where ice_sheet,longitude latitude time,xvelsurf_tavg-z0-hxy-is,xvelsurf_tavg-u-hxy-is,False
xvelsurf,area: time: mean where ice_sheet,longitude latitude time,xvelsurf_tavg-z0-hxy-is,xvelsurf_tavg-u-hxy-is,False
yvelsurf,area: time: mean where ice_sheet,longitude latitude time,yvelsurf_tavg-z0-hxy-is,yvelsurf_tavg-u-hxy-is,False
yvelsurf,area: time: mean where ice_sheet,longitude latitude time,yvelsurf_tavg-z0-hxy-is,yvelsurf_tavg-u-hxy-is,False
lithk,area: mean where ice_sheet,longitude latitude,lithk_ti-z0-hxy-is,lithk_ti-u-hxy-is,False
lithk,area: mean where ice_sheet,longitude latitude,lithk_ti-z0-hxy-is,lithk_ti-u-hxy-is,False
lithk,area: time: mean where ice_sheet,longitude latitude time,lithk_tavg-z0-hxy-is,lithk_tavg-u-hxy-is,False
lithk,area: time: mean where ice_sheet,longitude latitude time,lithk_tavg-z0-hxy-is,lithk_tavg-u-hxy-is,False
xvelmean,area: time: mean where ice_sheet,longitude latitude time,xvelmean_tavg-z0-hxy-is,xvelmean_tavg-u-hxy-is,False
xvelmean,area: time: mean where ice_sheet,longitude latitude time,xvelmean_tavg-z0-hxy-is,xvelmean_tavg-u-hxy-is,False
yvelmean,area: time: mean where ice_sheet,longitude latitude time,yvelmean_tavg-z0-hxy-is,yvelmean_tavg-u-hxy-is,False
yvelmean,area: time: mean where ice_sheet,longitude latitude time,yvelmean_tavg-z0-hxy-is,yvelmean_tavg-u-hxy-is,False
sw,area: mean where land time: mean,longitude latitude time,sw_tavg-z0-hxy-lnd,sw_tavg-u-hxy-lnd,False
mrtws,area: mean where land time: mean,longitude latitude time,mrtws_tavg-z0-hxy-lnd,mrtws_tavg-u-hxy-lnd,False
mrtws,area: mean where land time: mean,longitude latitude time,mrtws_tavg-z0-hxy-lnd,mrtws_tavg-u-hxy-lnd,False
lat,area: point,site ,lat_ti-z0-hxys-x,lat_ti-u-hxys-u,False
lai,area: mean where land time: mean,longitude latitude time,lai_tavg-z0-hxy-lnd,lai_tavg-u-hxy-lnd,False
lai,area: mean where land time: mean,longitude latitude time,lai_tavg-z0-hxy-lnd,lai_tavg-u-hxy-lnd,False
lai,area: time: mean where sector,longitude latitude landUse time,lai_tavg-z0-hxy-lus,lai_tavg-u-hxy-lus,False
cLeaf,area: mean where land time: mean,longitude latitude time,cLeaf_tavg-z0-hxy-lnd,cLeaf_tavg-u-hxy-lnd,False
nLeaf,area: mean where land time: mean,longitude latitude time,nLeaf_tavg-z0-hxy-lnd,nLeaf_tavg-u-hxy-lnd,False
clwmodis,area: time: mean,longitude latitude time,clwmodis_tavg-z0-hxy-x,clwmodis_tavg-u-hxy-u,False
clcalipsoliq,area: time: mean where air,longitude latitude alt40 time,clcalipsoliq_tavg-h40-hxy-air,clcalipsoliq_tavg-h40-hxy-air,True
pflw,area: mean where land time: mean,longitude latitude time,pflw_tavg-z0-hxy-lnd,pflw_tavg-u-hxy-lnd,False
pflw,area: mean where land time: mean,longitude latitude time,pflw_tavg-z0-hxy-lnd,pflw_tavg-u-hxy-lnd,False
mrlso,area: mean where land time: mean,longitude latitude time,mrlso_tavg-z0-hxy-lnd,mrlso_tavg-u-hxy-lnd,False
mrlsol,area: mean where land time: mean,longitude latitude sdepth time,mrlsol_tavg-l-hxy-lnd,mrlsol_tavg-l-hxy-lnd,True
mrlsol,area: mean where land time: mean,longitude latitude sdepth time,mrlsol_tavg-l-hxy-lnd,mrlsol_tavg-l-hxy-lnd,True
lwsnl,area: mean where land time: mean,longitude latitude time,lwsnl_tavg-z0-hxy-lnd,lwsnl_tavg-u-hxy-lnd,False
lwsnl,area: mean where land time: mean,longitude latitude time,lwsnl_tavg-z0-hxy-lnd,lwsnl_tavg-u-hxy-lnd,False
sisnmass,area: time: mean where sea_ice,longitude latitude time,sisnmass_tavg-z0-hxy-si,sisnmass_tavg-u-hxy-si,False
snmsl,area: mean where land time: mean,longitude latitude time,snmsl_tavg-z0-hxy-lnd,snmsl_tavg-u-hxy-lnd,False
c13Litter,area: mean where land time: mean,longitude latitude time,c13Litter_tavg-z0-hxy-lnd,c13Litter_tavg-u-hxy-lnd,False
c14Litter,area: mean where land time: mean,longitude latitude time,c14Litter_tavg-z0-hxy-lnd,c14Litter_tavg-u-hxy-lnd,False
cLitter,area: mean where land time: mean,longitude latitude time,cLitter_tavg-z0-hxy-lnd,cLitter_tavg-u-hxy-lnd,False
cLitter,area: mean where land time: point,longitude latitude time1,cLitter_tpt-z0-hxy-lnd,cLitter_tpt-u-hxy-lnd,False
cLitter,area: time: mean where natural_grasses over land,longitude latitude time,cLitter_tavg-z0-hxy-ng,cLitter_tavg-u-hxy-ng,False
cLitter,time: point area: mean where sector over land,longitude latitude landUse time1,cLitter_tpt-z0-hxy-lus,cLitter_tpt-u-hxy-lus,False
cLitter,area: time: mean where shrubs time,longitude latitude time,cLitter_tavg-z0-hxy-shb,cLitter_tavg-u-hxy-shb,False
cLitter,area: time: mean where trees,longitude latitude time,cLitter_tavg-z0-hxy-tree,cLitter_tavg-u-hxy-tree,False
nLitter,area: mean where land time: mean,longitude latitude time,nLitter_tavg-z0-hxy-lnd,nLitter_tavg-u-hxy-lnd,False
lon,area: point,site ,lon_ti-z0-hxys-x,lon_ti-u-hxys-u,False
ugrido,,longitude latitude ,ugrido_ti-z0-hxy-x,ugrido_ti-u-hxy-u,False
snlwe,area: time: mean where sector,longitude latitude landUse time,snlwe_tavg-z0-hxy-lus,snlwe_tavg-u-hxy-lus,False
tau,area: mean where land time: mean,longitude latitude time,tau_tavg-z0-hxy-lnd,tau_tavg-u-hxy-lnd,False
chlcalc,area: mean where sea time: mean,longitude latitude olevel time,chlcalc_tavg-l-hxy-sea,chlcalc_tavg-l-hxy-sea,True
chlcalc,area: mean where sea time: mean,longitude latitude olevel time,chlcalc_tavg-l-hxy-sea,chlcalc_tavg-l-hxy-sea,True
chlcalc,area: mean where sea time: mean,longitude latitude time depth0m,chlcalc_tavg-z00-hxy-sea,chlcalc_tavg-d0m-hxy-sea,False
chldiat,area: mean where sea time: mean,longitude latitude olevel time,chldiat_tavg-l-hxy-sea,chldiat_tavg-l-hxy-sea,True
chldiat,area: mean where sea time: mean,longitude latitude olevel time,chldiat_tavg-l-hxy-sea,chldiat_tavg-l-hxy-sea,True
chldiat,area: mean where sea time: mean,longitude latitude time depth0m,chldiat_tavg-z00-hxy-sea,chldiat_tavg-d0m-hxy-sea,False
chldiaz,area: mean where sea time: mean,longitude latitude olevel time,chldiaz_tavg-l-hxy-sea,chldiaz_tavg-l-hxy-sea,True
chldiaz,area: mean where sea time: mean,longitude latitude olevel time,chldiaz_tavg-l-hxy-sea,chldiaz_tavg-l-hxy-sea,True
chldiaz,area: mean where sea time: mean,longitude latitude time depth0m,chldiaz_tavg-z00-hxy-sea,chldiaz_tavg-d0m-hxy-sea,False
concdust,area: time: mean,longitude latitude alevel time,concdust_tavg-l-hxy-x,concdust_tavg-l-hxy-u,False
concdust,area: time: mean,longitude latitude time depth0m,concdust_tavg-z00-hxy-x,concdust_tavg-d0m-hxy-u,False
chlmisc,area: mean where sea time: mean,longitude latitude olevel time,chlmisc_tavg-l-hxy-sea,chlmisc_tavg-l-hxy-sea,True
chlmisc,area: mean where sea time: mean,longitude latitude olevel time,chlmisc_tavg-l-hxy-sea,chlmisc_tavg-l-hxy-sea,True
chlmisc,area: mean where sea time: mean,longitude latitude time depth0m,chlmisc_tavg-z00-hxy-sea,chlmisc_tavg-d0m-hxy-sea,False
chl,area: mean where sea time: mean,longitude latitude olevel time,chl_tavg-l-hxy-sea,chl_tavg-l-hxy-sea,True
chl,area: mean where sea time: mean,longitude latitude olevel time,chl_tavg-l-hxy-sea,chl_tavg-l-hxy-sea,True
chl,area: mean where sea time: mean,longitude latitude time depth0m,chl_tavg-z00-hxy-sea,chl_tavg-d0m-hxy-sea,False
chl,area: mean where sea time: mean,longitude latitude time depth0m,chl_tavg-z00-hxy-sea,chl_tavg-d0m-hxy-sea,False
chlpico,area: mean where sea time: mean,longitude latitude olevel time,chlpico_tavg-l-hxy-sea,chlpico_tavg-l-hxy-sea,True
chlpico,area: mean where sea time: mean,longitude latitude olevel time,chlpico_tavg-l-hxy-sea,chlpico_tavg-l-hxy-sea,True
chlpico,area: mean where sea time: mean,longitude latitude time depth0m,chlpico_tavg-z00-hxy-sea,chlpico_tavg-d0m-hxy-sea,False
sconcss,area: time: mean,longitude latitude time,sconcss_tavg-z0-hxy-x,sconcss_tavg-u-hxy-u,False
sconcso4,area: time: mean,longitude latitude time,sconcso4_tavg-z0-hxy-x,sconcso4_tavg-u-hxy-u,False
c13Land,area: mean where land time: mean,longitude latitude time,c13Land_tavg-z0-hxy-lnd,c13Land_tavg-u-hxy-lnd,False
c14Land,area: mean where land time: mean,longitude latitude time,c14Land_tavg-z0-hxy-lnd,c14Land_tavg-u-hxy-lnd,False
cLand,area: mean where land time: mean,longitude latitude time,cLand_tavg-z0-hxy-lnd,cLand_tavg-u-hxy-lnd,False
nLand,area: mean where land time: mean,longitude latitude time,nLand_tavg-z0-hxy-lnd,nLand_tavg-u-hxy-lnd,False
mrso,area: mean where land time: mean,longitude latitude time,mrso_tavg-z0-hxy-lnd,mrso_tavg-u-hxy-lnd,False
mrso,area: mean where land time: mean,longitude latitude time,mrso_tavg-z0-hxy-lnd,mrso_tavg-u-hxy-lnd,False
mrso,area: time: mean where sector,longitude latitude landUse time,mrso_tavg-z0-hxy-lus,mrso_tavg-u-hxy-lus,False
mrsol,area: mean where land time: point,longitude latitude sdepth time1,mrsol_tpt-l-hxy-lnd,mrsol_tpt-l-hxy-lnd,True
mrsol,area: mean where land time: mean,longitude latitude sdepth time,mrsol_tavg-l-hxy-lnd,mrsol_tavg-l-hxy-lnd,True
mrsol,area: mean where land time: mean,longitude latitude sdepth time,mrsol_tavg-l-hxy-lnd,mrsol_tavg-l-hxy-lnd,True
mrsol,area: mean where land time: point,longitude latitude time1 sdepth1,mrsol_tpt-z0p1-hxy-lnd,mrsol_tpt-d10cm-hxy-lnd,False
mrsol,area: mean where land time: point,longitude latitude time1 sdepth1,mrsol_tpt-z0p1-hxy-lnd,mrsol_tpt-d10cm-hxy-lnd,False
