variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_spreadsheet,matching
diftrxybo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,diftrxybo_tcla-l-hxy-sea,diftrxybo_tcla-l-hxy-sea,True
diftrxybo,area: mean where sea time: mean within years time: mean over years,longitude latitude time2,diftrxybo_tcla-z0-hxy-sea,diftrxybo_tcla-z0-hxy-sea,True
diftrxylo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,diftrxylo_tcla-l-hxy-sea,diftrxylo_tcla-l-hxy-sea,True
diftrxylo,area: mean where sea time: mean within years time: mean over years,longitude latitude time2,diftrxylo_tcla-z0-hxy-sea,diftrxylo_tcla-z0-hxy-sea,True
difvho,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvho_tcla-l-hxy-sea,difvho_tcla-l-hxy-sea,True
difvho,area: mean where sea time: mean,longitude latitude olevel time,difvho_tavg-l-hxy-sea,difvho_tavg-l-hxy-sea,True
difvmo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvmo_tcla-l-hxy-sea,difvmo_tcla-l-hxy-sea,True
difvmbo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvmbo_tcla-l-hxy-sea,difvmbo_tcla-l-hxy-sea,True
difvmfdo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvmfdo_tcla-l-hxy-sea,difvmfdo_tcla-l-hxy-sea,True
difvmto,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvmto_tcla-l-hxy-sea,difvmto_tcla-l-hxy-sea,True
difvso,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvso_tcla-l-hxy-sea,difvso_tcla-l-hxy-sea,True
difvso,area: mean where sea time: mean,longitude latitude olevel time,difvso_tavg-l-hxy-sea,difvso_tavg-l-hxy-sea,True
difvtrbo,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvtrbo_tcla-l-hxy-sea,difvtrbo_tcla-l-hxy-sea,True
difvtrto,area: mean where sea time: mean within years time: mean over years,longitude latitude olevel time2,difvtrto_tcla-l-hxy-sea,difvtrto_tcla-l-hxy-sea,True
volcello,area: sum where sea time: mean,longitude latitude olevel time,volcello_tavg-l-hxy-sea,volcello_tavg-l-hxy-sea,True
volcello,area: sum where sea,longitude latitude olevel ,volcello_ti-l-hxy-sea,volcello_ti-l-hxy-sea,True
volcello,area: sum where sea time: mean,longitude latitude olevel time,volcello_tavg-l-hxy-sea,volcello_tavg-l-hxy-sea,True
volcello,area: sum where sea time: mean,longitude latitude olevel time,volcello_tavg-l-hxy-sea,volcello_tavg-l-hxy-sea,True
msftyz,grid_longitude: mean where sea time: mean,gridlatitude rho basin time,msftyz_tavg-rhon-ht-sea,msftyz_tavg-rhon-hy-sea,False
msftyz,grid_longitude: mean where sea time: mean,gridlatitude rho basin time,msftyz_tavg-rhon-ht-sea,msftyz_tavg-rhon-hy-sea,False
msftyz,grid_longitude: mean where sea time: mean,gridlatitude olevel basin time,msftyz_tavg-l-ht-sea,msftyz_tavg-l-hy-sea,False
msftyz,grid_longitude: mean where sea time: mean,gridlatitude olevel basin time,msftyz_tavg-l-ht-sea,msftyz_tavg-l-hy-sea,False
msftyzmpa,grid_longitude: mean where sea time: mean,gridlatitude rho basin time,msftyzmpa_tavg-rhon-ht-sea,msftyzmpa_tavg-rhon-hy-sea,False
msftyzmpa,grid_longitude: mean where sea time: mean,gridlatitude olevel basin time,msftyzmpa_tavg-l-ht-sea,msftyzmpa_tavg-l-hy-sea,False
rivo,area: time: mean,longitude latitude time,rivo_tavg-z0-hxy-x,rivo_tavg-z0-hxy-x,True
tpf,area: mean where land time: mean,longitude latitude time,tpf_tavg-z0-hxy-lnd,tpf_tavg-z0-hxy-lnd,True
tpf,area: mean where land time: mean,longitude latitude time,tpf_tavg-z0-hxy-lnd,tpf_tavg-z0-hxy-lnd,True
jo2,longitude: time: mean where air,latitude plev39 time,jo2_tavg-p39-hy-air,jo2_tavg-p39-hy-air,True
jno2,area: time: mean,longitude latitude alevel time,jno2_tavg-l-hxy-x,jno2_tavg-l-hxy-x,True
jo3,longitude: time: mean where air,latitude plev39 time,jo3_tavg-p39-hy-air,jo3_tavg-p39-hy-air,True
photo1d,area: time: mean,longitude latitude alevel time,photo1d_tavg-l-hxy-x,photo1d_tavg-l-hxy-x,True
pr,area: time: mean,longitude latitude time,pr_tavg-z0-hxy-x,pr_tavg-z0-hxy-x,True
pr,area: time: mean,longitude latitude time,pr_tavg-z0-hxy-x,pr_tavg-z0-hxy-x,True
pr,area: mean time: point,longitude latitude time1,pr_tpt-z0-hxy-x,pr_tpt-z0-hxy-x,True
pr,area: time: mean,longitude latitude time,pr_tavg-z0-hxy-x,pr_tavg-z0-hxy-x,True
pr,area: time: mean,longitude latitude time,pr_tavg-z0-hxy-x,pr_tavg-z0-hxy-x,True
pr,area: time: mean,longitude latitude time,pr_tavg-z0-hxy-x,pr_tavg-z0-hxy-x,True
pr,area: mean time: point,longitude latitude time1,pr_tpt-z0-hxy-x,pr_tpt-z0-hxy-x,True
pr,area: point time: point,site time1,pr_tpt-z0-hxys-x,pr_tpt-z0-hxys-x,True
pr,area: time: mean where crops,longitude latitude time,pr_tavg-z0-hxy-crp,pr_tavg-z0-hxy-crp,True
pr,area: time: mean where crops,longitude latitude time,pr_tavg-z0-hxy-crp,pr_tavg-z0-hxy-crp,True
prhmax,area: mean time: mean (within each hour of the day) time: maximum (hourly rate within each 6-hour interval),longitude latitude time,prhmax_tstat-z0-hxy-x,prhmax_tstat-z0-hxy-x,True
prhmax,area: mean time: mean (within each hour of the day) time: maximum (hourly rate within each day),longitude latitude time,prhmax_tstat-z0-hxy-x,prhmax_tstat-z0-hxy-x,True
prhmax,area: mean time: mean (for each hour of the day) time: maximum (hourly rate within each month),longitude latitude time,prhmax_tstat-z0-hxy-x,prhmax_tstat-z0-hxy-x,True
pr17O,area: time: mean,longitude latitude time,pr17O_tavg-z0-hxy-x,pr17O_tavg-z0-hxy-x,True
pr18O,area: time: mean,longitude latitude time,pr18O_tavg-z0-hxy-x,pr18O_tavg-z0-hxy-x,True
pr2h,area: time: mean,longitude latitude time,pr2h_tavg-z0-hxy-x,pr2h_tavg-z0-hxy-x,True
prveg,area: mean where land time: mean,longitude latitude time,prveg_tavg-z0-hxy-lnd,prveg_tavg-z0-hxy-lnd,True
prveg,area: mean where land time: mean,longitude latitude time,prveg_tavg-z0-hxy-lnd,prveg_tavg-z0-hxy-lnd,True
ut,area: time: mean,longitude latitude alevel time,ut_tavg-l-hxy-x,ut_tavg-l-hxy-x,True
uwap,area: time: mean,longitude latitude alevel time,uwap_tavg-l-hxy-x,uwap_tavg-l-hxy-x,True
uv,area: time: mean,longitude latitude alevel time,uv_tavg-l-hxy-x,uv_tavg-l-hxy-x,True
twap,area: time: mean,longitude latitude alevel time,twap_tavg-l-hxy-x,twap_tavg-l-hxy-x,True
vt,area: time: mean,longitude latitude alevel time,vt_tavg-l-hxy-x,vt_tavg-l-hxy-x,True
vwap,area: time: mean,longitude latitude alevel time,vwap_tavg-l-hxy-x,vwap_tavg-l-hxy-x,True
prra,area: time: mean,longitude latitude time,prra_tavg-z0-hxy-x,prra_tavg-z0-hxy-x,True
prra,area: mean where land time: mean,longitude latitude time,prra_tavg-z0-hxy-lnd,prra_tavg-z0-hxy-lnd,True
prra,area: time: mean where ice_sheet,longitude latitude time,prra_tavg-z0-hxy-is,prra_tavg-z0-hxy-is,True
prra,area: time: mean where ice_sheet,longitude latitude time,prra_tavg-z0-hxy-is,prra_tavg-z0-hxy-is,True
prra,area: mean where ice_free_sea over sea time: mean,longitude latitude time,prra_tavg-z0-hxy-ifs,prra_tavg-z0-hxy-ifs,True
prra,area: time: mean where ice_sheet,longitude latitude time,prra_tavg-z0-hxy-is,prra_tavg-z0-hxy-is,True
prra,area: time: mean where sea_ice,longitude latitude time,prra_tavg-z0-hxy-si,prra_tavg-z0-hxy-si,True
basin,area: mean,longitude latitude ,basin_ti-z0-hxy-x,basin_ti-z0-hxy-x,True
hur,area: time: mean,longitude latitude alevel time,hur_tavg-l-hxy-x,hur_tavg-l-hxy-x,True
hur,area: time: mean where air,longitude latitude plev8 time,hur_tavg-p8-hxy-air,hur_tavg-p8-hxy-air,True
hur,area: time: mean,longitude latitude alevel time,hur_tavg-l-hxy-x,hur_tavg-l-hxy-x,True
hur,area: time: mean where air,longitude latitude plev19 time,hur_tavg-p19-hxy-air,hur_tavg-p19-hxy-air,True
hur,area: point time: point,alevel site time1,hur_tpt-l-hxys-x,hur_tpt-l-hxys-x,True
hurs,area: mean time: point,longitude latitude time1 height2m,hurs_tpt-h02-hxy-x,hurs_tpt-h02-hxy-x,True
hurs,area: time: mean,longitude latitude time height2m,hurs_tavg-h02-hxy-x,hurs_tavg-h02-hxy-x,True
hurs,area: time: mean,longitude latitude time height2m,hurs_tavg-h02-hxy-x,hurs_tavg-h02-hxy-x,True
hurs,area: time: mean,longitude latitude time height2m,hurs_tavg-h02-hxy-x,hurs_tavg-h02-hxy-x,True
hurs,area: point time: point,site time1 height2m,hurs_tpt-h02-hxys-x,hurs_tpt-h02-hxys-x,True
hursmax,area: mean time: maximum,longitude latitude time height2m,hursmax_tstat-h02-hxy-x,hursmax_tstat-h02-hxy-x,True
hursmin,area: mean time: minimum,longitude latitude time height2m,hursmin_tstat-h02-hxy-x,hursmin_tstat-h02-hxy-x,True
hursmin,area: mean where crops time: minimum,longitude latitude time height2m,hursmin_tstat-h02-hxy-crp,hursmin_tstat-h02-hxy-crp,True
hursmin,area: mean where crops time: minimum within days time: mean over days,longitude latitude time height2m,hursmin_tstat-h02-hxy-crp,hursmin_tstat-h02-hxy-crp,True
rootdmax,area: mean where land,longitude latitude ,rootdmax_ti-z0-hxy-lnd,rootdmax_ti-z0-hxy-lnd,True
cRoot,area: mean where land time: mean,longitude latitude time,cRoot_tavg-z0-hxy-lnd,cRoot_tavg-z0-hxy-lnd,True
cRoot,area: mean where land,longitude latitude sdepth ,cRoot_ti-l-hxy-lnd,cRoot_ti-l-hxy-lnd,True
nRoot,area: mean where land time: mean,longitude latitude time,nRoot_tavg-z0-hxy-lnd,nRoot_tavg-z0-hxy-lnd,True
mrro,area: mean where land time: mean,longitude latitude time,mrro_tavg-z0-hxy-lnd,mrro_tavg-z0-hxy-lnd,True
mrro,area: mean where land time: mean,longitude latitude time,mrro_tavg-z0-hxy-lnd,mrro_tavg-z0-hxy-lnd,True
mrro,area: mean where land time: mean,longitude latitude time,mrro_tavg-z0-hxy-lnd,mrro_tavg-z0-hxy-lnd,True
mrro,area: time: mean where ice_sheet,longitude latitude time,mrro_tavg-z0-hxy-is,mrro_tavg-z0-hxy-is,True
mrro,area: time: mean where sector,longitude latitude landUse time,mrro_tavg-z0-hxy-lus,mrro_tavg-z0-hxy-lus,True
sfriver,area: mean where sea time: mean,longitude latitude time,sfriver_tavg-z0-hxy-sea,sfriver_tavg-z0-hxy-sea,True
sfriver,area: mean where sea time: mean,longitude latitude time,sfriver_tavg-z0-hxy-sea,sfriver_tavg-z0-hxy-sea,True
sftof,area: mean,longitude latitude ,sftof_ti-z0-hxy-x,sftof_ti-z0-hxy-x,True
deptho,area: mean where sea,longitude latitude ,deptho_ti-z0-hxy-sea,deptho_ti-z0-hxy-sea,True
simass,area: mean where sea time: mean,longitude latitude time,simass_tavg-z0-hxy-sea,simass_tavg-z0-hxy-sea,True
siarea,area: sum time: mean , time,siarea_tavg-z0-hm-x,siarea_tavg-z0-hm-x,True
siarea,area: sum time: mean , time,siarea_tavg-z0-hm-x,siarea_tavg-z0-hm-x,True
siconc,area: mean where sea time: mean,longitude latitude time,siconc_tavg-z0-hxy-sea,siconc_tavg-z0-hxy-sea,True
siconc,area: mean where sea time: mean,longitude latitude time,siconc_tavg-z0-hxy-sea,siconc_tavg-z0-hxy-sea,True
siconc,area: time: mean,longitude latitude time,siconc_tavg-z0-hxy-x,siconc_tavg-z0-hxy-x,True
siconc,area: time: mean,longitude latitude time,siconc_tavg-z0-hxy-x,siconc_tavg-z0-hxy-x,True
siconcitd,area: time: mean,longitude latitude iceband time,siconcitd_tavg-z0-hxy-x,siconcitd_tavg-z0-hxy-x,True
siareaacrossline,time: mean where sea,siline time,siareaacrossline_tavg-z0-ht-sea,siareaacrossline_tavg-z0-ht-sea,True
sistresave,area: mean where sea_ice time: point,longitude latitude time1,sistresave_tpt-z0-hxy-si,sistresave_tpt-z0-hxy-si,True
sidragbot,area: time: mean where sea_ice,longitude latitude time,sidragbot_tavg-z0-hxy-si,sidragbot_tavg-z0-hxy-si,True
sitempbot,area: time: mean where sea_ice,longitude latitude time,sitempbot_tavg-z0-hxy-si,sitempbot_tavg-z0-hxy-si,True
siextent,area: time: mean, time,siextent_tavg-z0-hm-x,siextent_tavg-z0-hm-x,True
siextent,area: time: mean, time,siextent_tavg-z0-hm-x,siextent_tavg-z0-hm-x,True
sifb,area: time: mean where sea_ice,longitude latitude time,sifb_tavg-z0-hxy-si,sifb_tavg-z0-hxy-si,True
sisaltmass,area: mean where sea time: mean,longitude latitude time,sisaltmass_tavg-z0-hxy-sea,sisaltmass_tavg-z0-hxy-sea,True
simpthk,area: time: mean where sea_ice_melt_pond,longitude latitude time,simpthk_tavg-z0-hxy-simp,simpthk_tavg-z0-hxy-simp,True
sisali,area: time: mean where sea_ice,longitude latitude time,sisali_tavg-z0-hxy-si,sisali_tavg-z0-hxy-si,True
sispeed,area: time: mean where sea_ice,longitude latitude time,sispeed_tavg-z0-hxy-si,sispeed_tavg-z0-hxy-si,True
sispeed,area: time: mean where sea_ice,longitude latitude time,sispeed_tavg-z0-hxy-si,sispeed_tavg-z0-hxy-si,True
tssi,area: time: mean where sea_ice,longitude latitude time,tssi_tavg-z0-hxy-si,tssi_tavg-z0-hxy-si,True
ts,area: time: mean where sea_ice,longitude latitude time,ts_tavg-z0-hxy-si,ts_tavg-z0-hxy-si,True
ts,area: time: mean where sea_ice,longitude latitude time,ts_tavg-z0-hxy-si,ts_tavg-z0-hxy-si,True
sihc,area: mean where sea time: mean,longitude latitude time,sihc_tavg-z0-hxy-sea,sihc_tavg-z0-hxy-sea,True
sithickitd,area: time: mean where sea_ice (weighted by sea ice area fraction in ice thickness category),longitude latitude iceband time,sithickitd_tavg-z0-hxy-si,sithickitd_tavg-z0-hxy-si,True
sithickrdg,area: time: mean where sea_ice_ridges (weighted by fraction of sea ice area covered by ridges),longitude latitude time,sithickrdg_tavg-z0-hxy-sir,sithickrdg_tavg-z0-hxy-sir,True
sithick,area: time: mean where sea_ice,longitude latitude time,sithick_tavg-z0-hxy-si,sithick_tavg-z0-hxy-si,True
sithick,area: time: mean where sea_ice,longitude latitude time,sithick_tavg-z0-hxy-si,sithick_tavg-z0-hxy-si,True
sivol,area: mean where sea time: mean,longitude latitude time,sivol_tavg-z0-hxy-sea,sivol_tavg-z0-hxy-sea,True
simassacrossline,time: mean,siline time,simassacrossline_tavg-z0-ht-x,simassacrossline_tavg-z0-ht-x,True
sivol,area: time: mean, time,sivol_tavg-z0-hm-x,sivol_tavg-z0-hm-x,True
sivol,area: time: mean, time,sivol_tavg-z0-hm-x,sivol_tavg-z0-hm-x,True
siforcecoriolx,area: time: mean where sea_ice,longitude latitude time,siforcecoriolx_tavg-z0-hxy-si,siforcecoriolx_tavg-z0-hxy-si,True
siforcetiltx,area: time: mean where sea_ice,longitude latitude time,siforcetiltx_tavg-z0-hxy-si,siforcetiltx_tavg-z0-hxy-si,True
siforceintstrx,area: time: mean where sea_ice,longitude latitude time,siforceintstrx_tavg-z0-hxy-si,siforceintstrx_tavg-z0-hxy-si,True
sidmasstranx,time: mean,longitude latitude time,sidmasstranx_tavg-z0-hxy-x,sidmasstranx_tavg-z0-hxy-x,True
siu,area: time: mean where sea_ice,longitude latitude time,siu_tavg-z0-hxy-si,siu_tavg-z0-hxy-si,True
siu,area: time: mean where sea_ice,longitude latitude time,siu_tavg-z0-hxy-si,siu_tavg-z0-hxy-si,True
siforcecorioly,area: time: mean where sea_ice,longitude latitude time,siforcecorioly_tavg-z0-hxy-si,siforcecorioly_tavg-z0-hxy-si,True
siforcetilty,area: time: mean where sea_ice,longitude latitude time,siforcetilty_tavg-z0-hxy-si,siforcetilty_tavg-z0-hxy-si,True
siforceintstry,area: time: mean where sea_ice,longitude latitude time,siforceintstry_tavg-z0-hxy-si,siforceintstry_tavg-z0-hxy-si,True
sidmasstrany,time: mean,longitude latitude time,sidmasstrany_tavg-z0-hxy-x,sidmasstrany_tavg-z0-hxy-x,True
siv,area: time: mean where sea_ice,longitude latitude time,siv_tavg-z0-hxy-si,siv_tavg-z0-hxy-si,True
siv,area: time: mean where sea_ice,longitude latitude time,siv_tavg-z0-hxy-si,siv_tavg-z0-hxy-si,True
zos,area: mean where sea time: mean,longitude latitude time,zos_tavg-z0-hxy-sea,zos_tavg-z0-hxy-sea,True
sos,area: mean where sea time: mean,longitude latitude time,sos_tavg-z0-hxy-sea,sos_tavg-z0-hxy-sea,True
sos,area: mean where sea time: mean,longitude latitude time,sos_tavg-z0-hxy-sea,sos_tavg-z0-hxy-sea,True
sos,area: mean where sea time: mean,longitude latitude time,sos_tavg-z0-hxy-sea,sos_tavg-z0-hxy-sea,True
sos,area: mean where sea time: mean, time,sos_tavg-z0-hm-sea,sos_tavg-z0-hm-sea,True
sos,area: mean where sea time: mean, time,sos_tavg-z0-hm-sea,sos_tavg-z0-hm-sea,True
tos,area: mean where sea time: point,longitude latitude time1,tos_tpt-z0-hxy-sea,tos_tpt-z0-hxy-sea,True
tos,area: mean where sea time: mean,longitude latitude time,tos_tavg-z0-hxy-sea,tos_tavg-z0-hxy-sea,True
tos,area: mean where sea time: mean,longitude latitude time,tos_tavg-z0-hxy-sea,tos_tavg-z0-hxy-sea,True
tos,area: mean where sea time: mean,longitude latitude time,tos_tavg-z0-hxy-sea,tos_tavg-z0-hxy-sea,True
tos,area: mean where sea time: mean, time,tos_tavg-z0-hm-sea,tos_tavg-z0-hm-sea,True
tos,area: mean where sea time: mean, time,tos_tavg-z0-hm-sea,tos_tavg-z0-hm-sea,True
pabigthetao,area: mean where sea time: mean,longitude latitude olevel time,pabigthetao_tavg-l-hxy-sea,pabigthetao_tavg-l-hxy-sea,True
pathetao,area: mean where sea time: mean,longitude latitude olevel time,pathetao_tavg-l-hxy-sea,pathetao_tavg-l-hxy-sea,True
agessc,area: mean where sea time: mean,longitude latitude olevel time,agessc_tavg-l-hxy-sea,agessc_tavg-l-hxy-sea,True
agessc,area: mean where sea time: mean,longitude latitude olevel time,agessc_tavg-l-hxy-sea,agessc_tavg-l-hxy-sea,True
talk,area: mean where sea time: mean,longitude latitude olevel time,talk_tavg-l-hxy-sea,talk_tavg-l-hxy-sea,True
talk,area: mean where sea time: mean,longitude latitude olevel time,talk_tavg-l-hxy-sea,talk_tavg-l-hxy-sea,True
talk,area: mean where sea time: mean,longitude latitude time depth0m,talk_tavg-z00-hxy-sea,talk_tavg-z00-hxy-sea,True
talknat,area: mean where sea time: mean,longitude latitude olevel time,talknat_tavg-l-hxy-sea,talknat_tavg-l-hxy-sea,True
talknat,area: mean where sea time: mean,longitude latitude olevel time,talknat_tavg-l-hxy-sea,talknat_tavg-l-hxy-sea,True
talknat,area: mean where sea time: mean,longitude latitude time depth0m,talknat_tavg-z00-hxy-sea,talknat_tavg-z00-hxy-sea,True
bigthetao,area: mean where sea time: mean,longitude latitude olevel time,bigthetao_tavg-l-hxy-sea,bigthetao_tavg-l-hxy-sea,True
bigthetao,area: mean where sea time: mean,longitude latitude olevel time,bigthetao_tavg-l-hxy-sea,bigthetao_tavg-l-hxy-sea,True
bigthetao,depth: area: mean where sea (over entire ocean column)  time: mean, time,bigthetao_tavg-z0-hm-sea,bigthetao_tavg-z0-hm-sea,True
bigthetao,depth: area: mean where sea (over entire ocean column)  time: mean, time,bigthetao_tavg-z0-hm-sea,bigthetao_tavg-z0-hm-sea,True
masso,area: sum where sea time: mean, time,masso_tavg-z0-hm-sea,masso_tavg-z0-hm-sea,True
masso,area: sum where sea time: mean, time,masso_tavg-z0-hm-sea,masso_tavg-z0-hm-sea,True
masscello,area: mean where sea time: mean,longitude latitude olevel time,masscello_tavg-l-hxy-sea,masscello_tavg-l-hxy-sea,True
masscello,area: mean where sea,longitude latitude olevel ,masscello_ti-l-hxy-sea,masscello_ti-l-hxy-sea,True
masscello,area: mean where sea time: mean,longitude latitude olevel time,masscello_tavg-l-hxy-sea,masscello_tavg-l-hxy-sea,True
phabio,area: mean where sea time: mean,longitude latitude olevel time,phabio_tavg-l-hxy-sea,phabio_tavg-l-hxy-sea,True
phabio,area: mean where sea time: mean,longitude latitude olevel time,phabio_tavg-l-hxy-sea,phabio_tavg-l-hxy-sea,True
phabio,area: mean where sea time: mean,longitude latitude time depth0m,phabio_tavg-z00-hxy-sea,phabio_tavg-z00-hxy-sea,True
phnat,area: mean where sea time: mean,longitude latitude olevel time,phnat_tavg-l-hxy-sea,phnat_tavg-l-hxy-sea,True
phnat,area: mean where sea time: mean,longitude latitude olevel time,phnat_tavg-l-hxy-sea,phnat_tavg-l-hxy-sea,True
phnat,area: mean where sea time: mean,longitude latitude time depth0m,phnat_tavg-z00-hxy-sea,phnat_tavg-z00-hxy-sea,True
ph,area: mean where sea time: mean,longitude latitude olevel time,ph_tavg-l-hxy-sea,ph_tavg-l-hxy-sea,True
ph,area: mean where sea time: mean,longitude latitude olevel time,ph_tavg-l-hxy-sea,ph_tavg-l-hxy-sea,True
ph,area: mean where sea time: mean,longitude latitude time depth0m,ph_tavg-z00-hxy-sea,ph_tavg-z00-hxy-sea,True
thetao,area: mean where sea time: mean,longitude latitude olevel time,thetao_tavg-l-hxy-sea,thetao_tavg-l-hxy-sea,True
thetao,area: mean where sea time: mean,longitude latitude olevel time,thetao_tavg-l-hxy-sea,thetao_tavg-l-hxy-sea,True
thetao,depth: area: mean where sea time: mean,longitude latitude time olayer2000m,thetao_tavg-z02000-hxy-sea,thetao_tavg-z02000-hxy-sea,True
thetao,depth: area: mean where sea time: mean,longitude latitude time olayer300m,thetao_tavg-z0300-hxy-sea,thetao_tavg-z0300-hxy-sea,True
thetao,depth: area: mean where sea time: mean,longitude latitude time olayer700m,thetao_tavg-z0700-hxy-sea,thetao_tavg-z0700-hxy-sea,True
thetao,depth:  area: mean where sea (over entire ocean column) time: mean, time,thetao_tavg-z0-hm-sea,thetao_tavg-z0-hm-sea,True
thetao,depth:  area: mean where sea (over entire ocean column) time: mean, time,thetao_tavg-z0-hm-sea,thetao_tavg-z0-hm-sea,True
thetao,depth:  area: mean where sea (over entire ocean column) time: mean,longitude latitude time,thetao_tavg-z0-hxy-sea,thetao_tavg-z0-hxy-sea,True
tob,area: mean where sea time: mean,longitude latitude time,tob_tavg-z0-hxy-sea,tob_tavg-z0-hxy-sea,True
pbo,area: mean where sea time: mean,longitude latitude time,pbo_tavg-z0-hxy-sea,pbo_tavg-z0-hxy-sea,True
pso,area: mean where sea time: mean,longitude latitude time,pso_tavg-z0-hxy-sea,pso_tavg-z0-hxy-sea,True
prbigthetao,area: mean where sea time: mean,longitude latitude olevel time,prbigthetao_tavg-l-hxy-sea,prbigthetao_tavg-l-hxy-sea,True
prthetao,area: mean where sea time: mean,longitude latitude olevel time,prthetao_tavg-l-hxy-sea,prthetao_tavg-l-hxy-sea,True
so,area: mean where sea time: mean,longitude latitude olevel time,so_tavg-l-hxy-sea,so_tavg-l-hxy-sea,True
so,area: mean where sea time: mean,longitude latitude olevel time,so_tavg-l-hxy-sea,so_tavg-l-hxy-sea,True
so,depth: area: mean where sea (over entire ocean column) time: mean, time,so_tavg-z0-hm-sea,so_tavg-z0-hm-sea,True
so,depth: area: mean where sea (over entire ocean column) time: mean, time,so_tavg-z0-hm-sea,so_tavg-z0-hm-sea,True
so,area: mean where sea time: mean,longitude latitude time,so_tavg-z0-hxy-sea,so_tavg-z0-hxy-sea,True
mfo,time: mean,oline time,mfo_tavg-z0-ht-x,mfo_tavg-z0-ht-x,True
volo,area: sum where sea time: mean, time,volo_tavg-z0-hm-sea,volo_tavg-z0-hm-sea,True
volo,area: sum where sea time: mean, time,volo_tavg-z0-hm-sea,volo_tavg-z0-hm-sea,True
uo,area: mean where sea time: mean,longitude latitude olevel time,uo_tavg-l-hxy-sea,uo_tavg-l-hxy-sea,True
uo,area: mean where sea time: mean,longitude latitude olevel time,uo_tavg-l-hxy-sea,uo_tavg-l-hxy-sea,True
vo,area: mean where sea time: mean,longitude latitude olevel time,vo_tavg-l-hxy-sea,vo_tavg-l-hxy-sea,True
vo,area: mean where sea time: mean,longitude latitude olevel time,vo_tavg-l-hxy-sea,vo_tavg-l-hxy-sea,True
sci,area: time: mean,longitude latitude time,sci_tavg-z0-hxy-x,sci_tavg-z0-hxy-x,True
sci,area: time: mean,longitude latitude time,sci_tavg-z0-hxy-x,sci_tavg-z0-hxy-x,True
sci,area: point time: mean,site time,sci_tavg-z0-hxys-x,sci_tavg-z0-hxys-x,True
prcsh,area: time: mean,longitude latitude time,prcsh_tavg-z0-hxy-x,prcsh_tavg-z0-hxy-x,True
aerssabnd,area: mean (weighted by incident radiation in band) time: point,longitude latitude alevel spectband time1,aerssabnd_tpt-l-hxy-x,aerssabnd_tpt-l-hxy-x,True
exparag,area: mean where sea time: mean,longitude latitude time depth100m,exparag_tavg-z0100-hxy-sea,exparag_tavg-z0100-hxy-sea,True
exparag,area: mean where sea time: mean,longitude latitude olevel time,exparag_tavg-l-hxy-sea,exparag_tavg-l-hxy-sea,True
exparag,area: mean where sea time: mean,longitude latitude olevel time,exparag_tavg-l-hxy-sea,exparag_tavg-l-hxy-sea,True
expcalc,area: mean where sea time: mean,longitude latitude time depth100m,expcalc_tavg-z0100-hxy-sea,expcalc_tavg-z0100-hxy-sea,True
expcalc,area: mean where sea time: mean,longitude latitude olevel time,expcalc_tavg-l-hxy-sea,expcalc_tavg-l-hxy-sea,True
expcalc,area: mean where sea time: mean,longitude latitude olevel time,expcalc_tavg-l-hxy-sea,expcalc_tavg-l-hxy-sea,True
expfe,area: mean where sea time: mean,longitude latitude time depth100m,expfe_tavg-z0100-hxy-sea,expfe_tavg-z0100-hxy-sea,True
expfe,area: mean where sea time: mean,longitude latitude olevel time,expfe_tavg-l-hxy-sea,expfe_tavg-l-hxy-sea,True
expfe,area: mean where sea time: mean,longitude latitude olevel time,expfe_tavg-l-hxy-sea,expfe_tavg-l-hxy-sea,True
expc,area: mean where sea time: mean,longitude latitude time depth100m,expc_tavg-z0100-hxy-sea,expc_tavg-z0100-hxy-sea,True
expc,area: mean where sea time: mean,longitude latitude olevel time,expc_tavg-l-hxy-sea,expc_tavg-l-hxy-sea,True
expc,area: mean where sea time: mean,longitude latitude olevel time,expc_tavg-l-hxy-sea,expc_tavg-l-hxy-sea,True
expn,area: mean where sea time: mean,longitude latitude time depth100m,expn_tavg-z0100-hxy-sea,expn_tavg-z0100-hxy-sea,True
expn,area: mean where sea time: mean,longitude latitude olevel time,expn_tavg-l-hxy-sea,expn_tavg-l-hxy-sea,True
expn,area: mean where sea time: mean,longitude latitude olevel time,expn_tavg-l-hxy-sea,expn_tavg-l-hxy-sea,True
expp,area: mean where sea time: mean,longitude latitude time depth100m,expp_tavg-z0100-hxy-sea,expp_tavg-z0100-hxy-sea,True
expp,area: mean where sea time: mean,longitude latitude olevel time,expp_tavg-l-hxy-sea,expp_tavg-l-hxy-sea,True
expp,area: mean where sea time: mean,longitude latitude olevel time,expp_tavg-l-hxy-sea,expp_tavg-l-hxy-sea,True
